gameID,officialName,officialType
2010020077,Steve Kozari,Referee
2010020077,Brad Kovachik,Linesman
2010020077,Mike Cvik,Linesman
2010020078,Eric Furlatt,Referee
2010020078,Brad Meier,Referee
2010020078,Dan Schachte,Linesman
2010020078,Scott Cherrey,Linesman
2010020079,Chris Rooney,Referee
2010020079,Francois StLaurent,Referee
2010020079,Lonnie Cameron,Linesman
2010020079,Derek Amell,Linesman
2010020080,Brad Watson,Referee
2010020080,David Banfield,Referee
2010020080,Michel Cormier,Linesman
2010020080,Andy McElman,Linesman
2010020081,Bill McCreary,Referee
2010020081,Kyle Rehman,Referee
2010020081,Ryan Galloway,Linesman
2010020081,Mike Cvik,Linesman
2010020082,Wes McCauley,Referee
2010020082,Frederick L'Ecuyer,Referee
2010020082,Derek Nansen,Linesman
2010020082,Brian Murphy,Linesman
2010020083,Dennis LaRue,Referee
2010020083,Greg Kimmerly,Referee
2010020083,Scott Driscoll,Linesman
2010020083,David Brisebois,Linesman
2010020084,Chris Rooney,Referee
2010020084,Dean Morton,Referee
2010020084,Darren Gibbs,Linesman
2010020084,Don Henderson,Linesman
2010020085,Chris Lee,Referee
2010020085,Kevin Pollock,Referee
2010020085,Lonnie Cameron,Linesman
2010020085,Derek Amell,Linesman
2010020086,Stephane Auger,Referee
2010020086,Stephen Walkom,Referee
2010020086,Steve Barton,Linesman
2010020086,Pierre Champoux,Linesman
2010020087,Rob Martell,Referee
2010020087,Brad Meier,Referee
2010020087,Mark Shewchyk,Linesman
2010020087,Jonny Murray,Linesman
2010020088,Dan O'Rourke,Referee
2010020088,Marc Joannette,Referee
2010020088,Scott Cherrey,Linesman
2010020088,Shane Heyer,Linesman
2010020089,Mike Leggo,Referee
2010020089,Ian Walsh,Referee
2010020089,Jay Sharrers,Linesman
2010020089,Pierre Racicot,Linesman
2010020090,Paul Devorski,Referee
2010020090,Steve Kozari,Referee
2010020090,Tony Sericolo,Linesman
2010020090,Bryan Pancich,Linesman
2010020091,Dave Jackson,Referee
2010020091,Justin StPierre,Referee
2010020091,Greg Devorski,Linesman
2010020091,Vaughan Rody,Linesman
2010020092,Bill McCreary,Referee
2010020092,Kyle Rehman,Referee
2010020092,Ryan Galloway,Linesman
2010020092,Mike Cvik,Linesman
2010020093,Brian Pochmara,Referee
2010020093,Don VanMassenhoven,Referee
2010020093,Darren Gibbs,Linesman
2010020093,Steve Miller,Linesman
2010020094,Dennis LaRue,Referee
2010020094,Gord Dwyer,Referee
2010020094,Brad Kovachik,Linesman
2010020094,Andy McElman,Linesman
2010020095,Brad Watson,Referee
2010020095,Dean Morton,Referee
2010020095,Dan Schachte,Linesman
2010020095,Mark Shewchyk,Linesman
2010020096,Mike Leggo,Referee
2010020096,Eric Furlatt,Referee
2010020096,Jay Sharrers,Linesman
2010020096,Pierre Racicot,Linesman
2010020097,Dave Jackson,Referee
2010020097,Justin StPierre,Referee
2010020097,Mark Wheler,Linesman
